**** BEGIN LOGGING AT Tue Oct 18 17:58:07 2016

Th10 18 17:58:12 <jamielennox>	yum would be python-keystoneauth 
Th10 19 01:33:47 <acoles>	kota_: what's the liberasure code issue? is that related to the auditor patch?
Th10 19 01:33:52 <kota_>	s/another/other/
Th10 19 01:33:59 <acoles>	kota_: :(
Th10 19 01:34:15 <onovy>	clayg: graph is actual, so it's still going
Th10 19 01:34:34 <onovy>	spike is about ~24 hours
Th10 19 01:34:50 <kota_>	acoles: at first, i'd like to change the error handling not to catch ECDriverError. That is because it can catch every errors in the driver including no backend available.
Th10 19 01:35:33 <kota_>	i think ECInvalidBadFragmentMetadata is good for that which means corrupted fragment metadata we want to check the fragment bytes.
Th10 19 01:35:43 <acoles>	kota_: ah ok, makes sense
Th10 19 01:36:04 <onovy>	clayg: https://github.com/openstack/swift/blob/stable/mitaka/swift/obj/replicator.py#L294 this value is in graph
Th10 19 01:36:15 <kota_>	but 1. liberasurecode has a bug which doesn't return the error when the metadata corrupted
Th10 19 01:36:42 <clayg>	onovy: it's updated in update() too I think?
Th10 19 01:36:43 <acoles>	not good
Th10 19 01:36:48 <kota_>	2. liberasurecode is skipping all invalid_args tests including the corrupted metadata.
Th10 19 01:37:03 <kota_>	the second one I couldn't believe :(
Th10 19 01:37:10 <onovy>	yep, https://github.com/openstack/swift/blob/stable/mitaka/swift/obj/replicator.py#L467
Th10 19 01:37:20 <kota_>	acoles:^^
Th10 19 01:37:44 <acoles>	kota_: uh? so how come the tests in my patch worked? what error *was* I provoking?
Th10 19 01:38:25 <kota_>	acoles: ah, the second one is not a big related to yours.
Th10 19 01:38:36 <acoles>	kota_: I see "liberasurecode[97679]: Invalid fragment, illegal magic value"
Th10 19 01:38:46 <kota_>	yeah
Th10 19 01:39:02 <deep_>	clayg: This is the error <Error><Code>SignatureDoesNotMatch</Code><Message>The request signature we calculated does not match the signature you provided. Check your key and signing method.</Message><RequestId>txcd3ec5c31efd45289468e-005805ed4e</RequestId></Error>
Th10 19 01:39:06 <acoles>	so what is skipped?
Th10 19 01:39:15 <acoles>	kota_: ^^
Th10 19 01:39:25 <kota_>	acoles: ok, explain step by step
Th10 19 01:39:32 <kota_>	let me explain
Th10 19 01:39:32 <patchbot>	(let <variable> = <value> in <command>) -- Defines <variable> to be equal to <value> in the <command> and runs the <command>. '=' and 'in' can be omitted.
Th10 19 01:39:41 <acoles>	lol
Th10 19 01:39:43 <kota_>	sorry patch bot
Th10 19 01:39:44 <clayg>	deep_: that's for the swift3 middleware - kota_ knows everything swift3
Th10 19 01:39:59 <kota_>	so busy!?!?
Th10 19 01:40:05 <clayg>	deep_: unfortuately - he also knows everyting about libec - and we're sort of in crisis :D
Th10 19 01:40:28 <acoles>	can we spawn another kota?
Th10 19 01:40:37 <kota_>	acoles: great idea
Th10 19 01:40:40 <kota_>	JK
Th10 19 01:40:41 <joeljwright>	dammit kota_ stop being so useful!
Th10 19 01:40:45 <clayg>	kota.fork()
Th10 19 01:40:52 <kota_>	so, back to liberasurecode
Th10 19 01:41:18 <acoles>	for b in bugs: wait(kota)
Th10 19 01:41:24 <kota_>	acoles: "liberasurecode[97679]: Invalid fragment, illegal magic value", this is comming from sanity check with older libeasurecode
Th10 19 01:42:16 <kota_>	acoles: IIRC, during liberasurecode development history, we need to validate the fragment can be decode or not for the compatibility perspective.
Th10 19 01:42:32 <deep_>	clayg, kota_ : :) What is debugged till now for createbucket call i see one put followed by get, for put request the keystone check is successful but for get it return error "Authorization failed. Credential signature mismatch "
Th10 19 01:42:36 <kota_>	because sometimes we need to update the api or structore of the fragments
Th10 19 01:42:46 <acoles>	kota_: I have liberasurecode-dev 1.1.0
Th10 19 01:43:02 <kota_>	and the magic value can be worked for the check, 'this is compatible with your engine'
Th10 19 01:43:06 <clayg>	onovy: so either nothing has really changed, and reporting has changed and it's reporting is either more or less accurate now - or we're doing more rsync's - which means we're not just invalidating suffixes - but we have out of sync suffixes
Th10 19 01:43:41 <onovy>	yep. i can't found anything related to reporting change
Th10 19 01:43:42 <kota_>	deep_: will ack, sorry, I'm not so quick to think/type because I'm not a native English
Th10 19 01:44:04 <kota_>	back to liberasurecode again
Th10 19 01:44:05 <clayg>	onovy: is there any difference in the *requests* coming into the upgraded node?  last I looked we object-servers' don't emit statsd metrics per status code like the proxies do (so annoying!) but you could try to parse logs or something?
Th10 19 01:44:35 <acoles>	kota_: so each engine has a magic value and liberasurecode checks it is good?
Th10 19 01:44:41 <kota_>	acoles: so that, liberasurecode[97679]: Invalid fragment, illegal magic value means, the fragment is incompatible with currently your using.
Th10 19 01:44:48 <kota_>	acoles: yes
Th10 19 01:45:00 <acoles>	and is the magic the first N bytes?
Th10 19 01:45:01 <clayg>	onovy: if you go poke at /var/cache/swift/object.recon do the numbers make sense?  Are they way higher on the one node?  Is the cycle time longer?  partition timing higher?
Th10 19 01:45:03 <onovy>	clayg: requests count, type and status codes are same for new and old node
Th10 19 01:45:14 <kota_>	acoles: but acutally it works with your patch because the corrupted fragment metadata is absolutely incompatible.
Th10 19 01:45:24 <kota_>	acoles: yes
Th10 19 01:45:27 <clayg>	everything looks like "yes, more rsyncs on this node" - many factors back up the reported metric?
Th10 19 01:45:53 <kota_>	acoles: but unfortunately that returns ECInvalidParamter which means caller doing something wrong.
Th10 19 01:46:15 <acoles>	kota_: ah, but if the corrupted data just happens to be equal to a valid magic for an engine, then we would get no exception??
Th10 19 01:46:38 <kota_>	acoles: sure
Th10 19 01:46:59 <acoles>	kota_: right IIRC sometimes I saw "Inavlid args" or similar from liberasurecode
Th10 19 01:47:28 <onovy>	clayg: http://paste.openstack.org/show/586137/ this shows more rsync on upgraded node. but not "much more", just ~ 10%?
Th10 19 01:47:43 <onovy>	ehm sry, that was not-upgraded node. upgraded is here: http://paste.openstack.org/show/586136/
Th10 19 01:48:03 <acoles>	kota_: but, for the bug we know about (ssync) the corruption will always be that the start of the first frag is either "PUT", "POST" or "DELETE". I hope none of those are EC magic values ?!?
Th10 19 01:48:46 <deep_>	clayg, kota_ : np, take your time. just putting the complete problem and debugging so far.  PUT and GET is using same ec2 credentials. I am not able to find why and who invoke the get call. till now i reached till swift3/request.py function authenticat() --         sw_resp = sw_req.get_response(app)         if not sw_req.remote_user:             raise SignatureDoesNotMatch() -- from here the the s3curl error is returned.
Th10 19 01:48:51 <acoles>	kota_: wait, maybe I am wrong there, need to think some more
Th10 19 01:48:51 <kota_>	acoles: i think so, so probably catching ECInvalidParameter is an option insted of ECDriverError
Th10 19 01:49:42 <onovy>	clayg: https://s22.postimg.org/dteqvt7sx/graph3.png sum of obj/replication/time metric from whole cluster
Th10 19 01:49:49 <onovy>	so time is +- same
Th10 19 01:50:18 <kota_>	acoles: current magic value, https://github.com/openstack/liberasurecode/blob/master/include/erasurecode/erasurecode.h#L319
Th10 19 01:50:42 <onovy>	clayg: only this (rsync) metrics jumped up. all other metric is fine
Th10 19 01:51:11 <clayg>	onovy: that's good - one bad signal is normally less scary than a bunch of bad signals
Th10 19 01:51:31 <acoles>	kota_: I think I may be wrong - the *examples* we have seen always had zero bytes of the reconstructed frag sent so that the start of the actual sent data was the start of next subrequest, but in general I'm not sure that is guaranteed e.g. if reconstructor rebuild timed out part way through a rebuild
Th10 19 01:51:45 <onovy>	clayg: :)
Th10 19 01:52:11 <onovy>	only other problem is drive-audit metrics, which i send review/patch for. but i think it's unreleated
Th10 19 01:52:25 <clayg>	onovy: I would at this point start to lean towards maybe older nodes are mis-reporting somehow - or that the source of that signal has some unknown scaler factor away from norm that's different from old and new
Th10 19 01:52:27 <kota_>	acoles: yes, exactly
Th10 19 01:53:10 <clayg>	onovy: i might even upgrade another node and see if it does the same thing (probably will) but look for other signals that may indicate if movement in that metric is "bad"
Th10 19 01:53:14 <clayg>	... not sure if you would agree
Th10 19 01:53:49 <onovy>	clayg: i will try to stop object-expirer on that node
Th10 19 01:53:57 <acoles>	kota_: oh, so that struct has 59 bytes of metadata first then the magic. That is interesting, because when i first wrote my test I corrupted the first 12 bytes and saw no error! then i increased to corrupt 64 and saw the bad magic error. So is it the first 59 bytes of metadata checks that are skipped?
Th10 19 01:54:04 <onovy>	and than i will try to upgrade another one
Th10 19 01:54:08 <onovy>	and let's see what happens
Th10 19 01:54:29 <clayg>	onovy: good luck; may the force be with you
Th10 19 01:54:35 <clayg>	acoles: how many examples do you have?
Th10 19 01:54:37 <kota_>	acoles: but unfortunately currently no ways to detect the corruption if the magic value is same if using liberasurecode < 1.2.0
Th10 19 01:54:47 <onovy>	clayg: :) btw i found something
Th10 19 01:54:53 <acoles>	clayg: 2
Th10 19 01:55:04 <onovy>	this: obj/expirer/expired_last_pass jumped at yesterday morning too
Th10 19 01:55:15 <kota_>	if usgin liberasurecode >=1.2.0, that may be caught with header checksum.
Th10 19 01:55:18 <onovy>	so if we have more expired objects, we have more .ts and more rsyncs...?
Th10 19 01:55:24 <clayg>	acoles: I spent some time staring at the reconstrcutor code trying to convince myself why a _reconstruct_frag_iter would break early on the first frag more frequently than the in the middle and couldn't see anything?
Th10 19 01:55:50 <clayg>	i assumed we just had the one sample and it happened to pop on the first frag in the archive?
Th10 19 01:56:17 <kota_>	acoles: yeah
Th10 19 01:56:28 <clayg>	onovy: correlation is not causation ?
Th10 19 01:57:17 <onovy>	clayg: i will stop expirer and try to upgrade another one node than :)
Th10 19 01:57:25 <acoles>	clayg: yeah. *hand waving*...maybe if a GET is going to timeout then it often will time out on first byte read???? but I think we have to assume not
Th10 19 01:57:52 <kota_>	acoles: currently, liberasurecode is doing 1. version check, 2. crc check for the metadata and then if it's healty try to chekc the magic value.
Th10 19 01:58:13 <kota_>	2 is avaliable >=1.2.0
Th10 19 01:58:25 <acoles>	kota_: so to clarify, liberasurecode <1.2.0 skips the metadata check but will detect a corrupt magic value, liberasurecode >=1.2.0 will detect both corrupt metadata and bad magic?
Th10 19 01:58:39 <clayg>	yeah xattr stats read stuff maybe is more liekly to be in some filesystem location that's in the page cache than the first chunk read which drops at the bottom of a heavy io queue?  could be
Th10 19 01:58:48 <kota_>	acoles: yes
Th10 19 01:58:54 <clayg>	acoles: i'm so glad you're translating
Th10 19 01:59:11 <kota_>	acoles but one more thing,  a bug is at 1. version check
Th10 19 02:00:09 <kota_>	acoles: https://review.openstack.org/#/c/387879/1/src/erasurecode.c
Th10 19 02:00:09 <patchbot>	patch 387879 - liberasurecode - Fix liberasurecode skipping a bunch of invalid_arg...
Th10 19 02:00:49 <kota_>	if we hit the corruption as like version is negative or 0, the corruption check was skipped
Th10 19 02:01:11 <kota_>	right now
Th10 19 02:02:04 <kota_>	my patch 387879 is saving the case the version <= 0 but it may be just mitagation
Th10 19 02:02:05 <patchbot>	https://review.openstack.org/#/c/387879/ - liberasurecode - Fix liberasurecode skipping a bunch of invalid_arg...
Th10 19 02:02:41 <kota_>	even if the case, we could check the sanity with the magic value, anyway?
Th10 19 02:06:17 *	kota_ is grubbing another cup of coffee
Th10 19 02:06:21 <acoles>	kota_: I am computing :)
Th10 19 02:06:38 *	acoles needs too
Th10 19 02:06:48 <acoles>	coffee*
Th10 19 02:15:25 <kota_>	back from coffee server
Th10 19 02:15:31 <openstackgerrit>	Karen Chan proposed openstack/swift: Mirror X-Trans-Id to X-OpenStack-Request-Id  https://review.openstack.org/387354
Th10 19 02:19:42 <kota_>	deep_: looking at your explanation around sw_resp = sw_req.get_response(app)         if not sw_req.remote_user:             raise SignatureDoesNotMatch() -- from here the the s3curl error is returned.
Th10 19 02:20:14 <kota_>	maybe swift3 couldn't collect the user information from your keystone.
Th10 19 02:22:37 <kota_>	deep_: ah, wait I may be wrong.
Th10 19 02:31:50 <kota_>	hmmm.... not sure the intent for the remote_user because i forgot
Th10 19 02:32:29 <kota_>	deep_: what i can tell for now is maybe you need to set HTTP_REMOTE_USER in your request.
Th10 19 02:34:36 <sarcasticidiot>	Hi guys, im currently on the finish stage of setting up a swift cluster(1 keystone, 1 proxy, 2 storage nodes) for some testing but ran into an odd issue. Everything seems to work fine and I can create container using 'swift' client but on the keystone server 'openstack container list' return nothing
**** BEGIN LOGGING AT Wed Oct 19 20:21:34 2016

Th10 19 20:21:34 *	Now talking on #openstack-swift
Th10 19 20:21:34 *	Topic for #openstack-swift is: Let's talk, we're nice. | Reviews: http://goo.gl/mtEv1C | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Summit topics: https://etherpad.openstack.org/p/ocata_swift_summit_topics
Th10 19 20:21:34 *	Topic for #openstack-swift set by notmyname (Thu Sep 29 01:24:23 2016)
Th10 19 20:21:34 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th10 19 11:36:07 <openstackgerrit>	Tuan Luong-Anh proposed openstack/swift: Add prefix "$" for command examples  https://review.openstack.org/388355
Th10 19 11:56:31 *	sure is now known as Guest89668
Th10 19 11:58:13 <Guest89668>	hii all, I am doing "container syncronization" in same cluster for that i created my "container-sync-realms.conf" file like this http://paste.openstack.org/show/586313/
Th10 19 11:59:01 <Guest89668>	i created two containers and uploaded objects to one but those objects are not copied to other container
Th10 19 11:59:09 <Guest89668>	please some one help
Th10 19 12:11:49 <openstackgerrit>	Bryan Keller proposed openstack/swift: WIP: Add notification policy and transport middleware  https://review.openstack.org/388393
Th10 19 12:16:07 <mattoliverau>	Guest89668: so your container sync realms file is in /etc/swift/
Th10 19 12:16:44 <Guest89668>	mattoliverau: yes 
Th10 19 12:17:32 <mattoliverau>	Guest89668: also you can remove the clustername2 line, you only need to define each cluster once (and you are only using 1 cluster) but that shouldn't be stopping anything
Th10 19 12:18:35 <Guest89668>	mattoliverau: here is error log http://paste.openstack.org/show/586314/
Th10 19 12:24:42 <mattoliverau>	hmm, so it's timing out and then on the retry its saying method not allowed. And it's a DELETE
Th10 19 12:26:51 <mattoliverau>	Guest89668: you have the same secret key on both containers in the sync?
Th10 19 12:26:59 <Guest89668>	mattoliverau: yes
Th10 19 12:27:51 <Guest89668>	here is my http://paste.openstack.org/show/586315/ 
Th10 19 12:27:56 <Guest89668>	container stats
Th10 19 12:28:31 <mattoliverau>	and just to make sure, your proxy or loadbalancer (or whatever your ip in your realms config is pointing at) is listening on port 80?
Th10 19 12:28:46 <mattoliverau>	cause thats what your realms config says
Th10 19 12:29:29 <Guest89668>	yes it is listening at port 80
Th10 19 12:42:47 <mattoliverau>	Guest89668: is the endpoint to your cluster (that's listening on port 80) as swift proxy? a load balancer. Just trying to figure out why the request is 405'ed
Th10 19 12:43:16 <mattoliverau>	and where is container_sync on the proxy pipeline? 
Th10 19 12:44:04 <Guest89668>	my swift endpoint is " http://192.168.2.187:8080/v1/AUTH_%(tenant_id)s"
Th10 19 12:44:51 <mattoliverau>	oh so theyre listening on port 8080 not port 80 or do you have a load balancer listening on 80?
Th10 19 12:45:24 <Guest89668>	mattoliverau: no
Th10 19 12:45:34 <mattoliverau>	Guest89668: if not try changeing your end points in the realm to: http://192.168.2.187:8080/v1/
Th10 19 12:46:07 <mattoliverau>	Guest89668: looks like the container sync daemon is trying to update whatever is listening on port 80, maybe a webserver
Th10 19 12:46:26 <Guest89668>	mattoliverau: just now i changed and tried again
Th10 19 12:46:49 <Guest89668>	but now also same result but in log that ERROR was gone
Th10 19 12:47:18 <mattoliverau>	also I mentioned before you only need to specify a single cluster if you have a single cluster, so if you remove the second you'll have to update container metadata that points to cluser2 to point to cluster 1
Th10 19 12:47:29 <mattoliverau>	same result as in no objects?
Th10 19 12:47:48 <mattoliverau>	have you waited or reran the container-sync? 
Th10 19 12:48:57 <Guest89668>	yes i reran container-sync
Th10 19 12:49:34 <mattoliverau>	if your on the container server in question (a container server that serves ars a primary for the container in question) you can stop container-sync and force it to run manually with: swift-init container-sync once
Th10 19 12:49:37 <Guest89668>	here is my new relam file http://paste.openstack.org/show/586317/
Th10 19 12:49:47 <mattoliverau>	if your using swift-init
Th10 19 12:50:59 <mattoliverau>	Guest89668: that looks right (the :8080)
Th10 19 12:51:22 <Guest89668>	and my proxy-server.conf http://paste.openstack.org/show/586316/
Th10 19 12:52:10 <mattoliverau>	Guest89668: cool, container sync is before auth
Th10 19 12:53:15 <mattoliverau>	Guest89668: is the container-sync logging anything? it should log something, even if its just saying its running or warning about internal client using default
Th10 19 12:54:29 <Guest89668>	here is that log  http://paste.openstack.org/show/586318/
Th10 19 12:56:58 <mattoliverau>	hmm, yeah ok, thats a normal message, but means container sync is running.
Th10 19 12:57:50 <mattoliverau>	Guest89668: now that we have the ports right, how about you put another object in a container.. just in case container sync thinks it's uptodate
Th10 19 12:58:03 <mattoliverau>	cause it isn't erroring
Th10 19 12:59:19 <Guest89668>	mattoliverau: i deleted both the containers and created again but still same result
Th10 19 12:59:34 <mattoliverau>	Guest89668: whats your container sync interval? have you set one in the config? if not by default its 300 seconds
Th10 19 12:59:38 <mattoliverau>	or 5 mins
Th10 19 13:00:45 <mattoliverau>	Guest89668: and your container server can access your proxy servers (via the IP you specified) because thats where container sync is running from
Th10 19 13:02:52 <Guest89668>	mattoliverau: i am using single node swift (proxy+storage in same node) 
Th10 19 13:03:05 <mattoliverau>	oh ok
Th10 19 13:03:12 <Guest89668>	and how to set container sync intervel
Th10 19 13:04:22 <mattoliverau>	Guest89668: in your container-server config(s) there should be a section for container-sync. Under that heading you can specify an interval by adding:
Th10 19 13:04:46 <mattoliverau>	interval = <number>
Th10 19 13:05:13 <mattoliverau>	while your in there, you can turn up the logging verbosity for just the container sync daemon, but adding to the same container-sync section:
Th10 19 13:05:33 <mattoliverau>	log_level = DEBUG
Th10 19 13:05:43 <mattoliverau>	then restart the container sync daemon
Th10 19 13:06:05 <mattoliverau>	and hopefully it'll log more and it might tell us what's going on
**** ENDING LOGGING AT Wed Oct 19 13:06:37 2016

**** BEGIN LOGGING AT Wed Oct 19 13:07:16 2016

Th10 19 13:07:16 *	Now talking on #openstack-swift
Th10 19 13:07:16 *	Topic for #openstack-swift is: Let's talk, we're nice. | Reviews: http://goo.gl/mtEv1C | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Summit topics: https://etherpad.openstack.org/p/ocata_swift_summit_topics
Th10 19 13:07:16 *	Topic for #openstack-swift set by notmyname (Thu Sep 29 01:24:23 2016)
Th10 19 13:07:17 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th10 19 13:07:39 FiSHLiM	hexchat_print called without a valid context.
**** ENDING LOGGING AT Wed Oct 19 13:07:39 2016

**** BEGIN LOGGING AT Wed Oct 19 13:08:03 2016

Th10 19 13:08:03 *	Now talking on #openstack-swift
Th10 19 13:08:03 *	Topic for #openstack-swift is: Let's talk, we're nice. | Reviews: http://goo.gl/mtEv1C | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Summit topics: https://etherpad.openstack.org/p/ocata_swift_summit_topics
Th10 19 13:08:03 *	Topic for #openstack-swift set by notmyname (Thu Sep 29 01:24:23 2016)
Th10 19 13:08:03 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th10 19 13:12:23 <Guest89668>	mattoliverau: i added both parameters but same result
Th10 19 13:12:39 <Guest89668>	i didnt find any extra log 
Th10 19 13:17:46 <mattoliverau>	Guest89668: its seems that container-sync isn't finding objects to sync.
Th10 19 13:21:51 <mattoliverau>	hmm weird, what could we be missing
**** ENDING LOGGING AT Wed Oct 19 13:25:55 2016

**** BEGIN LOGGING AT Wed Oct 19 13:25:55 2016

Th10 19 13:31:01 <clayg>	busy busy
Th10 19 13:32:59 <Guest89668>	mattoliverau: then how to debug this 
Th10 19 13:35:02 <mattoliverau>	Guest89668: any logs matching the time the container sync ran in the proxy server logs (the other side of the container sync transaction)>
Th10 19 13:35:03 <mattoliverau>	?
Th10 19 13:37:51 <Guest89668>	mattoliverau: just now i uploaded one object to the container1 here is the log http://paste.openstack.org/show/586321/
Th10 19 13:40:37 <mattoliverau>	Guest89668: line 12 says your are getting a container-sync log error and your getting a 404 not found
Th10 19 13:41:24 <mattoliverau>	so double check your container sync paths, and make sure you can access the proxy at the ip you specify in the realms config
Th10 19 13:41:28 <Guest89668>	the file "openstack" what i deleted
Th10 19 13:42:01 <Guest89668>	at first time creation of containers i uploaded object called openstck 
Th10 19 13:42:28 <mattoliverau>	it doesn't seem the log level change has taken effect because you should see alot more. 
Th10 19 13:42:38 <Guest89668>	mattoliverau: after that i deleted two containers and again i created those
Th10 19 13:43:46 <Guest89668>	i have given log_level = DEBUG
Th10 19 13:43:51 <Guest89668>	it is correct
Th10 19 13:43:54 <Guest89668>	?
Th10 19 13:44:53 <mattoliverau>	yeah, and did you restart container-sync? Also I don't see your proxy log as apart of that. 
Th10 19 13:45:31 <mattoliverau>	clayg: your still up! 
Th10 19 13:49:40 <Guest89668>	mattoliverau: yes i restarted
Th10 19 14:00:28 <onovy>	clayg: no. i shutdowned it, spiked up. after power on, spiked down (and some time for sync of missing data). it was off for ~1 hour
Th10 19 14:02:03 <onovy>	"down" = value before shutdown, but still higher than before upgrade
Th10 19 14:08:46 *	tesseract is now known as Guest90211
Th10 19 14:12:17 <clayg>	handoffs first?
Th10 19 14:13:06 <clayg>	i think there's a warning emitted if you have it turned out - but the behavior changed at some point
Th10 19 14:14:11 <clayg>	onovy: 01410129dac6903ce7f486997a48e36072fa0401 first appeared in 2.7 tag
Th10 19 14:34:26 *	ChanServ gives voice to joeljwright
**** ENDING LOGGING AT Wed Oct 19 14:37:10 2016

**** BEGIN LOGGING AT Mon Oct 24 17:07:02 2016

Th10 24 17:07:02 *	Now talking on #openstack-swift
Th10 24 17:07:02 *	Topic for #openstack-swift is: Let's talk, we're nice. | Reviews: http://goo.gl/mtEv1C | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Summit topics: https://etherpad.openstack.org/p/ocata_swift_summit_topics
Th10 24 17:07:02 *	Topic for #openstack-swift set by notmyname (Thu Sep 29 01:24:23 2016)
Th10 24 17:07:02 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
**** BEGIN LOGGING AT Mon Nov  7 09:27:13 2016

Th11 07 09:27:13 *	Now talking on #openstack-swift
Th11 07 09:27:13 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th11 07 09:27:13 *	Topic for #openstack-swift set by notmyname (Wed Nov  2 06:09:34 2016)
Th11 07 09:27:13 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th11 07 10:42:09 <mahatic>	good morning!
Th11 07 11:14:46 *	Disconnected (Connection timed out)
**** ENDING LOGGING AT Mon Nov  7 11:14:46 2016

**** BEGIN LOGGING AT Mon Nov  7 11:15:16 2016

Th11 07 11:15:16 *	Now talking on #openstack-swift
Th11 07 11:15:16 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th11 07 11:15:16 *	Topic for #openstack-swift set by notmyname (Wed Nov  2 06:09:34 2016)
Th11 07 11:15:17 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th11 07 11:50:39 <kota_>	mahatic: good morning!
Th11 07 12:18:43 <openstackgerrit>	Charles Hsu proposed openstack/python-swiftclient: Add additional headers for HEAD/GET/DELETE requests.  https://review.openstack.org/372656
Th11 07 12:27:15 <openstackgerrit>	Merged openstack/liberasurecode: Fix clang compile time error  https://review.openstack.org/324083
Th11 07 14:06:47 *	tesseract is now known as Guest71310
Th11 07 15:40:57 *	amoralej|off is now known as amoralej
Th11 07 15:47:20 -openstackstatus/#openstack-swift-	NOTICE: Gerrit is going to be restarted due to slowness and proxy errors
Th11 07 17:09:43 <sureshj>	hii all i am uploading 3 objects of size 5.1GB with segment size 512MB at a time
Th11 07 17:10:04 <sureshj>	but all of them are failed with 503 service unavialable
Th11 07 17:10:15 <sureshj>	plese someone help on this
Th11 07 17:12:07 *	acoles_ is now known as acoles
Th11 07 17:42:09 <acoles>	sureshj: take a look in your proxy logs for any error messages container string "returning 503", they may give some hint as to what is happening - could be backend connection timeouts
Th11 07 17:44:17 <sureshj>	acoles: here is some part of  my log http://paste.openstack.org/show/588230/
Th11 07 17:51:40 <cschwede>	Hello everyone!
Th11 07 17:52:22 <cschwede>	acoles: i’m looking into the pyeclib testing in the gate we discussed in Barcelona
Th11 07 17:53:18 <cschwede>	acoles: but i’m no longer sure what is really missing here? at the end of the day we need a job to run probetests, right?
Th11 07 17:57:27 <acoles>	cschwede: remind me what the discussion was? (I remember discussing upgrade tests and tiering tests and the need for multi-policy func tests)
Th11 07 17:58:16 <acoles>	cschwede: did we discuss running swift tests in gate for pyeclib???
Th11 07 17:58:36 <cschwede>	acoles: we discussed running EC probetests on the gate with John, but looking into the current gate setup it either looks much more simple to me as it sounded in Barcelona or I am missing something
Th11 07 18:01:13 <acoles>	cschwede: oic. hmmm, TBH  I have never looked into why we do not run probe tests in gate, I just assumed there was a good reason that we could not.
Th11 07 18:01:28 <acoles>	probe tests make assumptions about the SAIO deployment
Th11 07 18:01:49 <acoles>	like tempauth is required IIRD, but devstack has that
Th11 07 18:01:53 <cschwede>	acoles: well, there is one. it requires more resources, because we need more than 1 replica
Th11 07 18:02:34 <acoles>	cschwede: does devstack use a single replica policy?
Th11 07 18:02:54 <cschwede>	acoles: yes, but one can override this, and use 3 for example to rest replication
Th11 07 18:03:21 <cschwede>	acoles: and my assumption is that we can simply increase that for EC, modify the swift.conf and run these tests
Th11 07 18:04:17 <cschwede>	there are already tests for pyeclib itself, for example: https://review.openstack.org/#/c/390149/
Th11 07 18:04:17 <patchbot>	patch 390149 - pyeclib - Remove Ryuta Kon from NTT shss reference (MERGED)
Th11 07 18:04:30 <cschwede>	(last patch on master branch)
Th11 07 18:05:28 <cschwede>	acoles: anyhow - i will continue testing on devstack how to enable EC probetests on the gate. i’ll ping you again soon ;)
Th11 07 18:06:40 <acoles>	cschwede: so currently we have no gate *functional* test using EC policy, that would be a good addition. I had thought it could be achieved with the in-process framework by adding an EC policy to that.
Th11 07 18:07:00 <acoles>	IDK about probe tests in the gate, if it can happen then great!
Th11 07 18:07:20 <cschwede>	hmm, looking into that oo
Th11 07 18:07:24 <cschwede>	s/oo/too
Th11 07 18:10:26 <acoles>	sureshj: your logs are showing that the backend PUT requests are timing out after 10 secs - you could try increasing the timeout value (node_timeout in proxy-server section of proxy-server.conf)
